City,ProvinceAbbreviation,ProvinceFullName
Airdrie,AB,Alberta
Alberta Beach,AB,Alberta
Athabasca,AB,Alberta
Banff,AB,Alberta
Barrhead,AB,Alberta
Bassano,AB,Alberta
Beaumont,AB,Alberta
Beaverlodge,AB,Alberta
Bentley,AB,Alberta
Black Diamond,AB,Alberta
Blackfalds,AB,Alberta
Bon Accord,AB,Alberta
Bonnyville,AB,Alberta
Bow Island,AB,Alberta
Bowden,AB,Alberta
Brooks,AB,Alberta
Bruederheim,AB,Alberta
Calgary,AB,Alberta
Calmar,AB,Alberta
Camrose,AB,Alberta
Canmore,AB,Alberta
Cardston,AB,Alberta
Carstairs,AB,Alberta
Chestermere,AB,Alberta
Claresholm,AB,Alberta
Coaldale,AB,Alberta
Coalhurst,AB,Alberta
Cochrane,AB,Alberta
Cold Lake,AB,Alberta
Crossfield,AB,Alberta
Crowsnest Pass,AB,Alberta
Devon,AB,Alberta
Didsbury,AB,Alberta
Drayton Valley,AB,Alberta
Drumheller,AB,Alberta
Duchess,AB,Alberta
Eckville,AB,Alberta
Edmonton,AB,Alberta
Edson,AB,Alberta
Elk Point,AB,Alberta
Falher,AB,Alberta
Fort Macleod,AB,Alberta
Fort Saskatchewan,AB,Alberta
Fox Creek,AB,Alberta
Gibbons,AB,Alberta
Grande Cache,AB,Alberta
Grande Prairie,AB,Alberta
Grimshaw,AB,Alberta
Hanna,AB,Alberta
High Level,AB,Alberta
High Prairie,AB,Alberta
High River,AB,Alberta
Hinton,AB,Alberta
Innisfail,AB,Alberta
Irricana,AB,Alberta
Jasper,AB,Alberta
Lacombe,AB,Alberta
Lamont,AB,Alberta
Leduc,AB,Alberta
Legal,AB,Alberta
Lethbridge,AB,Alberta
Lloydminster,AB,Alberta
Magrath,AB,Alberta
Manning,AB,Alberta
Mayerthorpe,AB,Alberta
Medicine Hat,AB,Alberta
Millet,AB,Alberta
Morinville,AB,Alberta
Nanton,AB,Alberta
Nobleford,AB,Alberta
Okotoks,AB,Alberta
Olds,AB,Alberta
Onoway,AB,Alberta
Oyen,AB,Alberta
Peace River,AB,Alberta
Penhold,AB,Alberta
Picture Butte,AB,Alberta
Pincher Creek,AB,Alberta
Ponoka,AB,Alberta
Provost,AB,Alberta
Raymond,AB,Alberta
Red Deer,AB,Alberta
Redcliff,AB,Alberta
Redwater,AB,Alberta
Rimbey,AB,Alberta
Rocky Mountain House,AB,Alberta
Sexsmith,AB,Alberta
Slave Lake,AB,Alberta
Springbrook,AB,Alberta
Spruce Grove,AB,Alberta
St. Albert,AB,Alberta
St. Paul,AB,Alberta
Stettler,AB,Alberta
Stony Plain,AB,Alberta
Strathmore,AB,Alberta
Sundre,AB,Alberta
Swan Hills,AB,Alberta
Sylvan Lake,AB,Alberta
Taber,AB,Alberta
Three Hills,AB,Alberta
Tofield,AB,Alberta
Trochu,AB,Alberta
Turner Valley,AB,Alberta
Two Hills,AB,Alberta
Valleyview,AB,Alberta
Vauxhall,AB,Alberta
Vegreville,AB,Alberta
Vermilion,AB,Alberta
Viking,AB,Alberta
Vulcan,AB,Alberta
Wabasca,AB,Alberta
Wainwright,AB,Alberta
Wembley,AB,Alberta
Westlock,AB,Alberta
Wetaskiwin,AB,Alberta
Whitecourt,AB,Alberta
Wood Buffalo,AB,Alberta
Abbotsford,BC,British Columbia
Anmore,BC,British Columbia
Armstrong,BC,British Columbia
Ashcroft,BC,British Columbia
Barriere,BC,British Columbia
Bowen Island,BC,British Columbia
Burnaby,BC,British Columbia
Burns Lake,BC,British Columbia
Campbell River,BC,British Columbia
Castlegar,BC,British Columbia
Cedar,BC,British Columbia
Central Saanich,BC,British Columbia
Chase,BC,British Columbia
Chetwynd,BC,British Columbia
Chilliwack,BC,British Columbia
Clearwater,BC,British Columbia
Coldstream,BC,British Columbia
Colwood,BC,British Columbia
Comox,BC,British Columbia
Coombs,BC,British Columbia
Coquitlam,BC,British Columbia
Courtenay,BC,British Columbia
Cowichan Bay,BC,British Columbia
Cranbrook,BC,British Columbia
Creston,BC,British Columbia
Cumberland,BC,British Columbia
Dawson Creek,BC,British Columbia
Delta,BC,British Columbia
Duncan,BC,British Columbia
Dunsmuir,BC,British Columbia
East Kelowna,BC,British Columbia
Elkford,BC,British Columbia
Ellison,BC,British Columbia
Enderby,BC,British Columbia
Errington,BC,British Columbia
Esquimalt,BC,British Columbia
Fernie,BC,British Columbia
Fort St. James,BC,British Columbia
Fort St. John,BC,British Columbia
Fruitvale,BC,British Columbia
Gibsons,BC,British Columbia
Gold River,BC,British Columbia
Golden,BC,British Columbia
Grand Forks,BC,British Columbia
Grindrod,BC,British Columbia
Harrison Hot Springs,BC,British Columbia
Highlands,BC,British Columbia
Hilliers,BC,British Columbia
Hope,BC,British Columbia
Houston,BC,British Columbia
Hudson Hope,BC,British Columbia
Invermere,BC,British Columbia
Kaleden,BC,British Columbia
Kamloops,BC,British Columbia
Kelowna,BC,British Columbia
Kent,BC,British Columbia
Keremeos,BC,British Columbia
Kimberley,BC,British Columbia
Kitimat,BC,British Columbia
Ladysmith,BC,British Columbia
Lake Country,BC,British Columbia
Lake Cowichan,BC,British Columbia
Lakeview,BC,British Columbia
Langford Station,BC,British Columbia
Langley,BC,British Columbia
Lillooet,BC,British Columbia
Lions Bay,BC,British Columbia
Logan Lake,BC,British Columbia
Lumby,BC,British Columbia
Mackenzie,BC,British Columbia
Maple Ridge,BC,British Columbia
Merritt,BC,British Columbia
Metchosin,BC,British Columbia
Mission,BC,British Columbia
Nakusp,BC,British Columbia
Nanaimo,BC,British Columbia
Naramata,BC,British Columbia
Nelson,BC,British Columbia
New Westminster,BC,British Columbia
Nisga'a,BC,British Columbia
North Cowichan,BC,British Columbia
North Saanich,BC,British Columbia
North Vancouver,BC,British Columbia
